dwpf,relh,drct,sknt,alti,mslp,vsby,temp_c
23.0,11.29,50.0,6.0,29.94,1012.1,10.0,27.77777777777778
18.0,8.55,260.0,5.0,29.82,1007.8,10.0,28.88888888888889
20.0,9.64,240.0,5.0,29.75,1005.8,10.0,28.333333333333332
39.0,25.49,250.0,11.0,29.66,1002.5,10.0,25.0
20.0,15.86,250.0,6.0,30.0,1014.6,10.0,20.0
26.0,16.17,250.0,3.0,29.81,1007.9,10.0,23.88888888888889
30.0,16.1,210.0,6.0,29.87,1009.6,10.0,26.666666666666668
31.0,17.3,250.0,6.0,29.84,1008.7,10.0,26.11111111111111
12.0,8.86,300.0,7.0,30.0,1014.2,10.0,23.88888888888889
12.0,8.86,300.0,5.0,30.01,1014.7,10.0,23.88888888888889
16.0,8.37,300.0,6.0,29.84,1008.7,10.0,27.77777777777778
16.0,8.13,300.0,6.0,29.83,1008.3,10.0,28.333333333333332
19.0,8.7,110.0,7.0,29.91,1010.9,10.0,29.444444444444443
15.0,6.84,180.0,10.0,29.89,1010.3,10.0,30.555555555555557
18.0,8.3,220.0,5.0,29.88,1009.7,10.0,29.444444444444443
36.0,25.03,250.0,11.0,29.76,1005.9,10.0,23.333333333333332
25.0,13.56,190.0,7.0,29.91,1011.3,10.0,26.11111111111111
25.0,10.8,210.0,5.0,29.91,1011.0,10.0,30.0
22.0,9.83,230.0,4.0,29.92,1011.5,10.0,29.444444444444443
28.0,11.84,260.0,7.0,29.83,1008.2,10.0,30.555555555555557
26.0,9.96,140.0,4.0,29.8,1007.0,10.0,32.22222222222222
28.0,11.12,240.0,7.0,29.79,1006.7,10.0,31.666666666666668
46.0,24.91,150.0,7.0,29.79,1006.6,10.0,30.0
46.0,26.55,210.0,3.0,29.74,1005.1,10.0,28.88888888888889
30.0,27.7,210.0,4.0,29.73,1005.5,10.0,17.77777777777778
33.0,26.32,240.0,9.0,29.86,1009.8,10.0,20.555555555555557
39.0,24.6,290.0,7.0,29.96,1012.8,10.0,25.555555555555557
29.0,12.28,270.0,7.0,29.88,1009.9,10.0,30.555555555555557
29.0,11.21,40.0,3.0,29.77,1006.1,10.0,32.22222222222222
26.0,9.63,280.0,7.0,29.85,1008.2,10.0,32.77777777777778
27.0,10.64,260.0,6.0,29.8,1006.9,10.0,31.666666666666668
41.0,21.89,250.0,14.0,29.66,1002.2,10.0,28.88888888888889
15.0,11.59,270.0,9.0,29.71,1004.6,10.0,21.666666666666668
21.0,11.82,250.0,9.0,29.68,1003.5,10.0,25.555555555555557
16.0,9.87,300.0,10.0,29.75,1005.4,10.0,25.0
21.0,11.08,300.0,3.0,30.15,1019.5,10.0,26.666666666666668
20.0,7.92,300.0,5.0,29.88,1009.9,10.0,31.666666666666668
17.0,6.19,250.0,12.0,29.79,1006.6,10.0,33.888888888888886
18.0,6.65,250.0,12.0,29.77,1006.0,10.0,33.333333333333336
31.0,11.42,0.0,0.0,29.85,1008.4,10.0,33.333333333333336
30.0,10.65,210.0,8.0,29.81,1006.9,10.0,33.888888888888886
32.0,11.54,240.0,6.0,29.77,1005.5,10.0,33.888888888888886
15.0,6.84,260.0,13.0,29.75,1005.3,10.0,30.555555555555557
24.0,13.45,0.0,0.0,29.87,1009.8,10.0,25.555555555555557
27.0,14.72,240.0,11.0,29.86,1009.4,10.0,26.11111111111111
25.0,11.51,180.0,12.0,29.86,1008.9,10.0,28.88888888888889
24.0,9.76,240.0,9.0,29.86,1008.8,10.0,31.11111111111111
25.0,9.21,230.0,7.0,29.87,1009.1,10.0,32.77777777777778
28.0,9.82,0.0,0.0,29.84,1008.0,10.0,33.888888888888886
25.0,8.66,170.0,3.0,29.79,1006.5,10.0,33.888888888888886
19.0,7.41,240.0,8.0,29.78,1006.1,10.0,32.22222222222222
33.0,12.82,240.0,9.0,29.81,1007.1,10.0,32.77777777777778
30.0,10.02,250.0,5.0,29.76,1005.1,10.0,35.0
32.0,9.88,170.0,7.0,29.7,1002.9,10.0,36.666666666666664
30.0,10.02,260.0,11.0,29.66,1001.8,10.0,35.0
24.0,10.77,250.0,7.0,29.67,1002.2,10.0,29.444444444444443
17.0,9.98,310.0,7.0,29.89,1010.3,10.0,25.555555555555557
16.0,7.85,240.0,5.0,29.88,1009.6,10.0,28.88888888888889
