relh,drct,sknt,alti,vsby,temp_c,dewpoint_c,feel_c
33.29,320,6,29.85,6.21,31,13,30.06111111
22.78,10,4,29.88,6.21,33,9,31.16111111
22.29,310,5,29.85,6.21,37,12,35.83888889
15.93,20,12,29.85,6.21,37,7,34.75
15.73,330,6,29.85,3.73,41,10,39.43333333
38.18,360,14,29.94,6.21,32,16,32
44.8,320,11,29.97,6.21,27,14,27.11666667
34.69,320,9,29.97,6.21,28,11,27.33333333
39.3,330,6,29.97,3.73,27,12,27
23.85,50,12,29.88,6.21,31,8,29.26666667
37.9,300,11,29.83,6.21,31,15,31
36.79,340,10,29.97,6.21,27,11,27
39.58,360,6,29.97,6.21,28,13,28
25.52,60,12,29.88,6.21,31,9,29.37222222
20.38,30,13,29.8,6.21,35,9,33.08888889
27.56,250,16,29.8,1.24,32,11,30.55555556
35.53,310,9,29.88,6.21,31,14,30.32222222
31.72,330,9,29.91,6.21,33,14,32.25555556
28.37,20,5,29.85,6.21,35,14,34.34444444
23.55,40,8,29.8,6.21,36,12,34.77222222
13.75,220,16,29.68,3.73,41,8,38.87222222
26.84,270,13,29.74,0.93,36,14,35.42777778
31.72,270,7,29.85,6.21,33,14,32.25555556
35.81,350,10,29.91,6.21,32,15,32
31.72,360,12,29.88,6.21,33,14,32.25555556
21.11,40,9,29.83,6.21,38,12,36.91111111
39,330,8,29.8,6.21,35,19,36.92222222
42.8,320,8,29.85,6.21,30,16,30.02777778
31.45,290,9,29.88,6.21,32,13,30.98888889
28.37,350,5,29.77,6.21,35,14,34.34444444
43.34,320,12,29.74,6.21,32,18,32.90555556
43.34,290,5,29.77,6.21,32,18,32.90555556
36.35,330,4,29.83,6.21,34,17,34
38.45,320,10,29.85,6.21,33,17,33
32.27,340,10,29.83,6.21,35,16,35
31.07,320,9,29.77,6.21,38,18,39.81111111
25.93,350,11,29.71,6.21,39,16,39.76111111
17.74,290,10,29.71,6.21,40,11,38.71666667
28.9,280,10,29.68,6.21,37,16,37
13.64,210,13,29.59,6.21,45,11,43.77222222
19.66,360,4,29.77,6.21,43,15,43.74444444
24.61,310,10,29.83,6.21,37,13.5,36.58055556
24.06,330,8,29.77,6.21,38,14,38
36.08,300,7,29.8,6.21,33,16,33
35.53,300,11,29.83,6.21,31,14,30.32222222
43.07,330,5,29.85,6.21,31,17,31.37777778
31.72,340,6,29.85,3.73,33,14,32.25555556
25.41,20,8,29.8,6.21,37,14,37
41.5,300,10,29.77,3.73,35,20,37.67777778
43.34,320,9,29.83,6.21,32,18,32.90555556
31.72,340,10,29.83,6.21,33,14,32.25555556
40.69,10,9,29.8,3.73,32,17,32.4
29.99,340,10,29.74,6.21,34,14,33.28333333
32.27,350,10,29.77,6.21,35,16,35
28.37,320,10,29.77,6.21,35,14,34.34444444
31.99,320,5,29.8,6.21,34,15,34
30.26,300,7,29.8,6.21,35,15,35
36.35,340,10,29.83,6.21,34,17,34
38.73,10,11,29.83,3.73,34,18,35.11111111
43.61,350,10,29.83,6.21,33,19,34.60555556
40.96,340,9,29.85,6.21,33,18,33.99444444
41.23,20,13,29.8,6.21,34,19,35.75
39,360,12,29.74,6.21,35,19,36.92222222
36.63,350,13,29.71,6.21,35,18,36.25555556
36.63,300,10,29.68,6.21,35,18,36.25555556
36.9,290,8,29.74,6.21,36,19,38.11111111
30.8,300,6,29.8,6.21,37,17,37.98888889
41.5,320,4,29.8,3.73,35,20,37.67777778
34.39,300,9,29.8,6.21,35,17,35.67777778
32.27,290,8,29.8,6.21,35,16,35
32.27,310,11,29.77,6.21,35,16,35
43.88,310,10,29.71,6.21,34,20,36.48333333
41.5,280,9,29.68,6.21,35,20,37.67777778
39.27,280,9,29.62,6.21,36,20,38.89444444
25.15,300,9,29.65,6.21,36,13,35.07777778
14.92,20,5,29.71,6.21,42,10,40.44444444
25.93,30,10,29.85,6.21,39,16,39.76111111
43.61,350,10,29.83,6.21,33,19,34.60555556
31.99,340,9,29.68,6.21,34,15,34
39,330,9,29.68,6.21,35,19,36.92222222
34.66,10,11,29.74,6.21,36,18,37.42777778
36.9,300,8,29.74,6.21,36,19,38.11111111
39.27,290,8,29.71,6.21,36,20,38.89444444
27.1,290,9,29.65,6.21,37,15,37
27.1,290,7,29.65,6.21,37,15,37
13.95,10,3,29.65,6.21,42,9,40.12777778
22.79,290,3,29.77,6.21,39,14,39
33.08,10,10,29.85,6.21,38,19,40.54444444
34.39,350,9,29.77,6.21,35,17,35.67777778
46.67,340,8,29.77,6.21,34,21,37.31666667
