dwpf,relh,drct,sknt,alti,vsby,feel,temp_c
33.8,9.9,250.0,3.0,29.83,6.21,94.47,38.0
35.6,10.07,330.0,4.0,29.88,3.73,96.3,39.0
24.8,10.72,20.0,12.0,30.03,3.11,82.26,30.0
24.8,10.12,350.0,8.0,30.03,6.21,83.56,31.0
23.0,8.87,340.0,8.0,30.03,6.21,84.75,32.0
26.6,10.3,340.0,7.0,30.06,6.21,85.02,32.0
14.0,6.03,330.0,13.0,29.94,6.21,84.3,32.0
12.2,4.97,340.0,6.0,29.88,6.21,86.83,34.0
21.2,6.95,160.0,9.0,29.88,6.21,88.62,35.0
26.6,8.24,260.0,10.0,29.91,6.21,90.57,36.0
28.4,9.38,360.0,5.0,29.97,6.21,89.27,35.0
28.4,9.91,210.0,5.0,29.97,6.21,87.89,34.0
30.2,9.55,210.0,8.0,30.03,6.21,90.96,36.0
30.2,8.56,350.0,4.0,30.03,4.97,93.98,38.0
33.8,13.05,80.0,8.0,30.06,6.21,87.13,33.0
33.8,14.61,50.0,3.0,30.03,6.21,84.1,31.0
33.8,14.61,330.0,4.0,30.03,6.21,84.1,31.0
33.8,13.8,330.0,2.0,30.0,6.21,85.59,32.0
28.4,10.48,210.0,7.0,29.97,6.21,86.53,33.0
26.6,9.21,80.0,3.0,29.97,6.21,87.72,34.0
26.6,9.74,190.0,5.0,29.94,6.21,86.36,33.0
28.4,10.48,180.0,6.0,29.94,6.21,86.53,33.0
23.0,7.92,210.0,11.0,29.91,6.21,87.42,34.0
53.6,34.97,70.0,8.0,29.97,6.21,82.76,29.0
39.2,20.29,160.0,8.0,30.03,6.21,81.44,29.0
44.6,23.59,160.0,9.0,30.03,4.97,83.07,30.0
41.0,19.4,160.0,8.0,29.97,6.21,84.3,31.0
42.8,19.64,160.0,10.0,29.94,4.97,85.93,32.0
41.0,17.32,200.0,8.0,29.97,6.21,87.4,33.0
59.0,50.69,50.0,7.0,30.09,4.35,78.8,26.0
51.8,39.02,100.0,3.0,30.18,6.21,78.8,26.0
46.4,25.26,150.0,3.0,30.09,6.21,83.22,30.0
46.4,22.53,120.0,3.0,30.0,6.21,86.24,32.0
42.8,23.33,150.0,9.0,30.0,6.21,81.61,29.0
44.6,24.99,170.0,10.0,29.97,6.21,81.73,29.0
46.4,25.26,160.0,11.0,30.0,4.35,83.22,30.0
39.2,20.29,160.0,7.0,30.03,6.21,81.44,29.0
39.2,20.29,180.0,4.0,29.97,6.21,81.44,29.0
41.0,21.76,200.0,6.0,29.91,6.21,81.52,29.0
53.6,41.69,340.0,6.0,29.94,6.21,78.8,26.0
44.6,33.57,50.0,5.0,30.0,6.21,74.0,24.0
55.4,50.17,160.0,9.0,30.0,4.35,75.2,24.0
57.2,77.45,120.0,10.0,30.06,6.21,64.4,18.000000000000004
60.8,68.75,170.0,12.0,29.91,3.73,71.6,21.999999999999996
62.6,88.18,110.0,8.0,29.94,1.86,66.2,19.0
59.0,64.48,0.0,0.0,29.94,3.11,71.6,21.999999999999996
53.6,56.38,330.0,7.0,29.97,6.21,69.8,21.0
48.2,52.25,340.0,10.0,30.0,6.21,66.2,19.0
44.6,40.29,320.0,8.0,30.09,6.21,69.8,21.0
28.4,16.67,320.0,3.0,30.12,6.21,75.18,25.0
30.2,16.9,0.0,0.0,30.09,6.21,77.17,26.0
26.6,12.97,250.0,3.0,30.09,6.21,79.92,28.000000000000004
30.2,14.18,340.0,8.0,30.15,6.21,81.26,29.0
28.4,14.81,340.0,3.0,30.18,6.21,78.72,26.999999999999996
32.0,19.3,150.0,6.0,30.12,6.21,75.31,25.0
32.0,18.18,170.0,6.0,30.12,6.21,77.23,26.0
46.4,33.85,330.0,8.0,30.21,6.21,75.99,25.0
41.0,29.23,360.0,5.0,30.18,6.21,73.79,24.0
32.0,16.17,290.0,4.0,30.03,6.21,80.0,28.000000000000004
26.6,12.23,210.0,6.0,29.97,6.21,81.13,29.0
28.4,13.96,180.0,7.0,29.94,6.21,79.94,28.000000000000004
28.4,14.81,330.0,8.0,30.03,6.21,78.72,26.999999999999996
48.2,40.85,150.0,4.0,30.09,6.21,72.36,23.000000000000004
46.4,30.07,180.0,5.0,30.03,6.21,79.56,26.999999999999996
32.0,16.17,240.0,8.0,29.97,6.21,80.0,28.000000000000004
35.6,38.85,50.0,9.0,30.09,4.97,60.8,16.0
39.2,42.0,170.0,13.0,30.0,3.73,62.6,17.0
42.8,27.81,170.0,11.0,29.91,4.97,77.69,26.0
42.8,26.22,160.0,5.0,29.97,6.21,79.3,26.999999999999996
46.4,40.57,340.0,10.0,30.15,6.21,70.37,21.999999999999996
30.2,37.97,40.0,8.0,30.24,6.21,55.4,13.0
21.2,26.13,20.0,4.0,30.27,6.21,55.4,13.0
26.6,26.98,80.0,4.0,30.18,6.21,60.8,16.0
26.6,25.32,140.0,7.0,30.12,6.21,62.6,17.0
33.8,23.39,280.0,5.0,30.06,6.21,71.54,23.000000000000004
28.4,27.27,10.0,10.0,30.24,6.21,62.6,17.0
26.6,25.32,340.0,9.0,30.24,6.21,62.6,17.0
19.4,19.94,350.0,6.0,30.18,6.21,60.8,16.0
17.6,17.32,320.0,5.0,30.24,6.21,62.6,17.0
17.6,18.46,70.0,5.0,30.36,6.21,60.8,16.0
32.0,33.64,110.0,6.0,30.39,6.21,60.8,16.0
28.4,29.06,160.0,4.0,30.3,6.21,60.8,16.0
26.6,20.98,0.0,0.0,30.21,6.21,68.0,20.0
26.6,19.72,300.0,3.0,30.21,6.21,69.8,21.0
21.2,14.8,160.0,6.0,30.09,6.21,69.16,21.999999999999996
17.6,14.35,160.0,10.0,30.0,3.73,68.0,20.0
19.4,12.9,180.0,6.0,29.94,4.97,71.05,23.000000000000004
35.6,32.14,70.0,6.0,30.06,6.21,66.2,19.0
32.0,29.63,70.0,7.0,30.21,6.21,64.4,18.000000000000004
42.8,51.45,130.0,8.0,30.27,6.21,60.8,16.0
44.6,45.6,150.0,9.0,30.09,4.97,66.2,19.0
42.8,40.0,160.0,10.0,29.91,3.73,68.0,20.0
55.4,100.0,150.0,10.0,29.91,3.11,55.4,13.0
33.8,43.9,320.0,9.0,30.12,6.21,55.4,13.0
41.0,51.18,20.0,4.0,30.15,6.21,59.0,15.0
41.0,45.04,150.0,4.0,30.12,5.59,62.6,17.0
39.2,47.72,170.0,11.0,30.03,6.21,59.0,15.0
51.8,67.75,310.0,3.0,30.12,6.21,62.6,17.0
42.8,58.52,320.0,10.0,30.27,6.21,57.2,14.000000000000002
37.4,44.47,0.0,0.0,30.24,6.21,59.0,15.0
44.6,45.6,150.0,5.0,30.15,6.21,66.2,19.0
46.4,40.57,180.0,5.0,30.09,6.21,70.37,21.999999999999996
50.0,43.69,20.0,3.0,30.15,6.21,73.4,23.000000000000004
44.6,40.29,160.0,8.0,30.06,6.21,69.8,21.0
46.4,55.37,280.0,4.0,29.97,6.21,62.6,17.0
30.2,27.55,320.0,15.0,30.18,6.21,64.4,18.000000000000004
33.8,31.85,320.0,9.0,30.21,6.21,64.4,18.000000000000004
30.2,24.32,340.0,2.0,30.18,6.21,68.0,20.0
39.2,28.96,190.0,3.0,30.12,4.97,71.8,23.000000000000004
26.6,16.43,220.0,12.0,30.03,6.21,73.19,24.0
26.6,14.59,300.0,5.0,30.0,6.21,77.07,26.0
33.8,28.11,100.0,3.0,30.09,6.21,68.0,20.0
39.2,32.72,170.0,12.0,30.03,5.59,69.8,21.0
42.8,33.29,160.0,12.0,29.97,4.97,72.0,23.000000000000004
44.6,37.89,160.0,8.0,29.97,4.97,70.24,21.999999999999996
48.2,32.18,180.0,7.0,30.06,6.21,80.6,26.999999999999996
59.0,77.6,60.0,4.0,30.06,3.73,66.2,19.0
44.6,37.89,40.0,4.0,30.06,6.21,70.24,21.999999999999996
42.8,40.0,120.0,5.0,30.03,6.21,68.0,20.0
46.4,43.13,140.0,9.0,29.91,6.21,69.8,21.0
46.4,38.18,170.0,8.0,29.8,6.21,72.23,23.000000000000004
50.0,49.37,340.0,11.0,29.94,3.73,69.8,21.0
33.8,24.86,350.0,3.0,29.94,6.21,69.63,21.999999999999996
35.6,44.19,310.0,3.0,30.0,6.21,57.2,14.000000000000002
28.4,24.04,150.0,6.0,29.97,6.21,66.2,19.0
42.8,51.45,130.0,5.0,30.0,6.21,60.8,16.0
26.6,25.32,360.0,10.0,30.15,6.21,62.6,17.0
15.8,15.04,310.0,4.0,30.12,6.21,64.4,18.000000000000004
14.0,11.54,320.0,6.0,30.03,6.21,69.8,21.0
19.4,15.5,340.0,10.0,30.0,6.21,68.0,20.0
19.4,16.5,350.0,5.0,30.06,6.21,66.2,19.0
19.4,15.5,170.0,5.0,30.12,6.21,68.0,20.0
21.2,13.93,150.0,6.0,29.94,6.21,71.09,23.000000000000004
30.2,16.9,200.0,12.0,29.83,4.97,77.17,26.0
32.0,23.13,350.0,8.0,30.03,6.21,69.55,21.999999999999996
32.0,26.15,350.0,10.0,30.21,6.21,68.0,20.0
28.4,21.24,330.0,8.0,30.24,6.21,69.8,21.0
21.2,13.93,330.0,10.0,30.18,6.21,71.09,23.000000000000004
21.2,13.11,340.0,6.0,30.18,6.21,73.04,24.0
19.4,11.44,130.0,3.0,30.03,6.21,74.94,25.0
19.4,10.16,190.0,7.0,29.91,6.21,78.56,26.999999999999996
24.8,12.76,160.0,8.0,29.94,6.21,78.94,26.999999999999996
33.8,17.38,160.0,11.0,29.94,4.97,80.03,28.000000000000004
35.6,16.63,190.0,5.0,30.0,6.21,82.69,30.0
42.8,24.72,250.0,4.0,30.0,6.21,80.39,28.000000000000004
33.8,13.8,200.0,9.0,29.83,4.35,85.59,32.0
35.6,21.0,120.0,5.0,30.06,6.21,77.37,26.0
33.8,19.55,110.0,5.0,30.06,6.21,77.3,26.0
33.8,16.39,160.0,3.0,29.97,6.21,81.3,29.0
30.2,15.03,160.0,10.0,29.97,4.97,79.97,28.000000000000004
28.4,11.74,170.0,8.0,29.97,6.21,83.84,31.0
39.2,17.09,260.0,6.0,29.97,6.21,85.73,32.0
33.8,13.05,210.0,4.0,29.97,6.21,87.13,33.0
33.8,13.05,150.0,9.0,29.97,6.21,87.13,33.0
32.0,12.14,160.0,9.0,29.94,6.21,86.91,33.0
32.0,12.14,170.0,13.0,29.85,6.21,86.91,33.0
37.4,16.86,160.0,12.0,29.91,6.21,84.16,31.0
41.0,20.54,280.0,15.0,29.83,3.11,82.86,30.0
28.4,17.7,110.0,6.0,29.91,4.97,73.25,24.0
26.6,16.43,240.0,4.0,29.85,6.21,73.19,24.0
28.4,21.24,290.0,14.0,29.97,4.97,69.8,21.0
23.0,15.97,310.0,8.0,30.18,6.21,69.21,21.999999999999996
21.2,10.97,0.0,0.0,30.18,6.21,78.68,26.999999999999996
28.4,13.18,160.0,9.0,30.0,6.21,81.25,29.0
39.2,17.09,230.0,6.0,29.91,4.97,85.73,32.0
33.8,14.61,170.0,5.0,29.85,6.21,84.1,31.0
44.6,28.08,110.0,10.0,29.88,4.97,79.42,26.999999999999996
35.6,21.0,360.0,12.0,29.94,6.21,77.37,26.0
24.8,12.03,360.0,7.0,29.94,6.21,79.79,28.000000000000004
26.6,12.97,160.0,10.0,29.88,4.35,79.92,28.000000000000004
26.6,12.97,160.0,10.0,29.8,6.21,79.92,28.000000000000004
50.0,41.14,100.0,11.0,29.88,2.49,75.2,24.0
24.8,12.03,340.0,4.0,30.0,6.21,79.79,28.000000000000004
30.2,15.03,350.0,5.0,30.06,6.21,79.97,28.000000000000004
35.6,18.67,150.0,9.0,29.94,6.21,80.08,28.000000000000004
39.2,17.09,230.0,11.0,29.77,1.86,85.73,32.0
28.4,11.74,340.0,5.0,29.85,4.97,83.84,31.0
28.4,13.96,160.0,8.0,29.85,1.86,79.94,28.000000000000004
44.6,23.59,170.0,15.0,29.71,2.49,83.07,30.0
39.2,27.26,30.0,7.0,29.91,6.21,73.7,24.0
24.8,13.54,70.0,6.0,30.0,6.21,77.02,26.0
19.4,9.04,10.0,10.0,30.09,6.21,80.68,29.0
23.0,9.94,320.0,3.0,30.15,6.21,82.14,30.0
19.4,8.06,110.0,3.0,30.09,6.21,83.23,31.0
23.0,7.92,150.0,2.0,29.97,6.21,87.42,34.0
32.0,10.85,200.0,7.0,29.91,6.21,89.71,35.0
30.2,8.56,240.0,10.0,29.88,4.35,93.98,38.0
28.4,8.4,350.0,3.0,29.97,6.21,92.25,37.0
33.8,13.05,100.0,6.0,30.03,6.21,87.13,33.0
35.6,11.86,180.0,5.0,29.91,4.97,91.72,36.0
30.2,8.56,200.0,7.0,29.85,6.21,93.98,38.0
32.0,8.72,180.0,10.0,29.88,3.11,95.74,39.0
33.8,10.45,50.0,2.0,29.91,4.97,92.94,37.0
33.8,10.45,180.0,9.0,29.91,4.97,92.94,37.0
23.0,6.02,220.0,10.0,29.91,6.21,94.75,39.0
24.8,7.65,10.0,14.0,30.06,6.21,90.4,36.0
35.6,11.23,360.0,10.0,29.94,6.21,93.23,37.0
28.4,8.87,160.0,3.0,29.88,6.21,90.75,36.0
30.2,9.55,170.0,7.0,29.94,6.21,90.96,36.0
35.6,10.07,210.0,7.0,29.94,6.21,96.3,39.0
32.0,8.72,350.0,5.0,29.88,6.21,95.74,39.0
37.4,12.05,180.0,8.0,29.91,6.21,93.54,37.0
32.0,8.72,260.0,4.0,29.91,4.97,95.74,39.0
32.0,8.27,210.0,7.0,29.88,6.21,97.28,40.0
35.6,10.07,150.0,5.0,29.85,3.11,96.3,39.0
39.2,12.94,140.0,8.0,29.88,3.11,93.89,37.0
42.8,15.71,170.0,13.0,29.85,4.35,92.57,36.0
42.8,14.87,140.0,7.0,29.83,3.73,94.3,37.0
30.2,8.11,200.0,2.0,29.77,3.73,95.5,39.0
37.4,12.73,120.0,6.0,29.85,3.11,92.04,36.0
32.0,10.85,350.0,8.0,29.94,3.73,89.71,35.0
24.8,8.08,300.0,7.0,29.91,6.21,88.91,35.0
21.2,6.57,280.0,8.0,29.91,6.21,90.11,36.0
21.2,5.89,280.0,4.0,29.83,6.21,93.11,38.0
23.0,6.02,160.0,4.0,29.83,6.21,94.75,39.0
37.4,12.73,360.0,15.0,29.91,1.24,92.04,36.0
46.4,18.02,10.0,2.0,29.85,1.55,93.05,36.0
35.6,11.23,240.0,15.0,29.85,4.97,93.23,37.0
41.0,12.44,190.0,8.0,29.83,4.35,97.39,39.0
24.8,7.24,330.0,10.0,29.88,6.21,91.9,37.0
32.0,10.85,330.0,4.0,29.85,4.97,89.71,35.0
30.2,10.09,290.0,9.0,29.88,6.21,89.48,35.0
28.4,8.4,310.0,4.0,29.85,6.21,92.25,37.0
30.2,9.55,70.0,6.0,29.91,4.97,90.96,36.0
28.4,7.53,350.0,11.0,29.91,6.21,95.28,39.0
23.0,6.02,10.0,11.0,29.91,6.21,94.75,39.0
26.6,6.63,180.0,6.0,29.85,6.21,96.6,40.0
32.0,7.84,320.0,8.0,29.83,6.21,98.82,41.0
33.8,8.88,160.0,9.0,29.85,6.21,97.55,40.0
35.6,9.05,180.0,8.0,29.83,6.21,99.42,41.0
30.2,6.91,130.0,8.0,29.83,6.21,100.1,42.0
30.2,6.91,260.0,6.0,29.83,6.21,100.1,42.0
41.0,10.6,220.0,7.0,29.83,6.21,102.16,42.0
33.8,7.99,160.0,9.0,29.8,4.35,100.66,42.0
32.0,7.43,281.0,10.0,29.83,6.21,100.37,42.0
33.8,7.58,190.0,3.0,29.83,6.21,102.24,43.0
32.0,6.69,240.0,13.0,29.83,6.21,103.57,44.0
37.4,9.21,360.0,10.0,29.83,5.59,101.34,42.0
26.6,6.29,340.0,9.0,29.83,6.21,98.12,41.0
32.0,7.05,0.0,0.0,29.77,4.97,101.93,43.0
33.8,8.88,70.0,3.0,29.83,2.49,97.55,40.0
28.4,7.95,350.0,10.0,29.91,6.21,93.77,38.0
33.8,9.37,330.0,13.0,29.85,4.35,96.01,39.0
30.2,7.29,360.0,8.0,29.8,6.21,98.56,41.0
30.2,6.91,120.0,6.0,29.74,6.21,100.1,42.0
26.6,5.96,80.0,10.0,29.74,6.21,99.63,42.0
21.2,4.76,150.0,6.0,29.71,6.21,99.08,42.0
28.4,6.09,100.0,3.0,29.74,6.21,101.4,43.0
19.4,3.77,350.0,8.0,29.74,6.21,103.72,45.0
26.6,6.63,10.0,10.0,29.71,1.86,96.6,40.0
32.0,9.21,10.0,6.0,29.74,4.97,94.21,38.0
32.0,8.27,140.0,6.0,29.74,4.97,97.28,40.0
33.8,8.88,20.0,4.0,29.8,6.21,97.55,40.0
26.6,6.29,10.0,15.0,29.77,2.49,98.12,41.0
19.4,4.64,330.0,12.0,29.77,6.21,97.44,41.0
32.0,7.84,340.0,14.0,29.74,1.86,98.82,41.0
30.2,7.68,330.0,10.0,29.68,4.97,97.03,40.0
30.2,6.91,330.0,13.0,29.65,4.97,100.1,42.0
30.2,7.29,330.0,16.0,29.74,3.11,98.56,41.0
26.6,6.29,10.0,16.0,29.77,3.11,98.12,41.0
26.6,5.96,10.0,16.0,29.77,4.97,99.63,42.0
30.2,6.91,10.0,13.0,29.74,6.21,100.1,42.0
28.4,6.42,350.0,3.0,29.68,6.21,99.86,42.0
24.8,4.98,310.0,10.0,29.68,4.97,102.58,44.0
23.0,4.62,310.0,2.0,29.77,6.21,102.38,44.0
23.0,4.87,310.0,13.0,29.77,4.97,100.77,43.0
23.0,4.87,330.0,15.0,29.71,4.97,100.77,43.0
26.6,5.96,350.0,9.0,29.74,6.21,99.63,42.0
15.8,3.4,350.0,13.0,29.77,6.21,101.75,44.0
23.0,4.62,350.0,4.0,29.77,6.21,102.38,44.0
19.4,3.97,330.0,13.0,29.68,4.35,102.04,44.0
28.4,6.09,280.0,12.0,29.59,6.21,101.4,43.0
26.6,5.37,360.0,6.0,29.62,6.21,102.8,44.0
28.4,5.78,320.0,11.0,29.71,6.21,103.03,44.0
33.8,7.19,360.0,3.0,29.68,6.21,103.88,44.0
28.4,6.09,40.0,6.0,29.68,4.97,101.4,43.0
28.4,5.78,290.0,4.0,29.65,6.21,103.03,44.0
24.8,4.98,270.0,12.0,29.65,6.21,102.58,44.0
30.2,6.91,120.0,8.0,29.74,6.21,100.1,42.0
30.2,6.56,350.0,12.0,29.77,6.21,101.66,43.0
23.0,4.87,330.0,13.0,29.71,6.21,100.77,43.0
24.8,5.83,10.0,18.0,29.71,0.62,97.92,41.0
26.6,5.96,350.0,4.0,29.71,6.21,99.63,42.0
32.0,7.05,300.0,18.0,29.65,6.21,101.93,43.0
35.6,8.14,330.0,16.0,29.65,3.73,102.57,43.0
35.6,7.73,340.0,15.0,29.62,4.97,104.21,44.0
28.4,5.78,340.0,15.0,29.65,6.21,103.03,44.0
28.4,6.09,40.0,3.0,29.65,6.21,101.4,43.0
33.8,7.99,240.0,11.0,29.65,5.59,100.66,42.0
30.2,6.91,360.0,8.0,29.65,6.21,100.1,42.0
35.6,9.05,300.0,12.0,29.68,6.21,99.42,41.0
30.2,6.91,330.0,15.0,29.65,6.21,100.1,42.0
33.8,7.99,330.0,14.0,29.68,6.21,100.66,42.0
32.0,7.05,330.0,11.0,29.74,6.21,101.93,43.0
35.6,8.58,10.0,7.0,29.83,6.21,100.98,42.0
32.0,7.05,340.0,12.0,29.74,6.21,101.93,43.0
33.8,7.99,310.0,19.0,29.65,6.21,100.66,42.0
26.6,5.66,320.0,13.0,29.65,3.11,101.17,43.0
30.2,6.91,330.0,14.0,29.65,6.21,100.1,42.0
30.2,6.56,320.0,8.0,29.65,6.21,101.66,43.0
35.6,8.14,330.0,7.0,29.65,6.21,102.57,43.0
30.2,6.22,340.0,7.0,29.62,6.21,103.29,44.0
28.4,6.09,20.0,8.0,29.65,6.21,101.4,43.0
32.0,7.05,330.0,6.0,29.65,6.21,101.93,43.0
37.4,9.21,350.0,9.0,29.68,6.21,101.34,42.0
35.6,9.05,340.0,9.0,29.71,6.21,99.42,41.0
37.4,9.72,330.0,14.0,29.71,4.97,99.76,41.0
33.8,8.42,340.0,12.0,29.71,6.21,99.1,41.0
33.8,7.99,340.0,9.0,29.74,6.21,100.66,42.0
30.2,6.91,10.0,14.0,29.74,6.21,100.1,42.0
33.8,7.99,350.0,17.0,29.71,4.97,100.66,42.0
37.4,9.21,30.0,11.0,29.71,6.21,101.34,42.0
30.2,6.56,350.0,7.0,29.74,6.21,101.66,43.0
26.6,5.1,360.0,7.0,29.65,6.21,104.49,45.0
28.4,5.78,20.0,11.0,29.65,6.21,103.03,44.0
26.6,5.1,0.0,0.0,29.62,6.21,104.49,45.0
33.8,7.19,120.0,5.0,29.68,5.59,103.88,44.0
39.2,8.9,140.0,6.0,29.8,5.59,104.98,44.0
37.4,9.21,40.0,12.0,29.8,4.97,101.34,42.0
41.0,10.06,360.0,10.0,29.74,4.97,103.77,43.0
33.8,7.58,60.0,10.0,29.74,6.21,102.24,43.0
35.6,7.73,350.0,12.0,29.71,4.97,104.21,44.0
32.0,7.43,60.0,10.0,29.74,6.21,100.37,42.0
46.4,13.75,120.0,5.0,29.8,6.21,101.97,41.0
30.2,6.91,80.0,9.0,29.77,6.21,100.1,42.0
37.4,9.21,70.0,7.0,29.77,4.97,101.34,42.0
35.6,8.14,30.0,8.0,29.71,5.59,102.57,43.0
24.8,4.98,360.0,8.0,29.65,6.21,102.58,44.0
39.2,9.89,70.0,8.0,29.71,6.21,101.73,42.0
33.8,7.58,330.0,4.0,29.71,6.21,102.24,43.0
30.2,6.56,340.0,14.0,29.65,6.21,101.66,43.0
41.0,11.18,80.0,6.0,29.68,4.97,100.56,41.0
33.8,7.58,340.0,6.0,29.71,6.21,102.24,43.0
28.4,6.09,320.0,8.0,29.65,6.21,101.4,43.0
28.4,6.77,10.0,9.0,29.74,6.21,98.33,41.0
30.2,6.91,290.0,6.0,29.71,5.59,100.1,42.0
26.6,5.66,300.0,5.0,29.77,6.21,101.17,43.0
33.8,7.99,180.0,6.0,29.8,6.21,100.66,42.0
37.4,9.72,120.0,4.0,29.8,6.21,99.76,41.0
37.4,9.72,260.0,4.0,29.8,6.21,99.76,41.0
41.0,11.18,180.0,8.0,29.8,6.21,100.56,41.0
37.4,10.25,160.0,8.0,29.83,6.21,98.19,40.0
37.4,10.25,210.0,6.0,29.8,6.21,98.19,40.0
39.2,10.43,180.0,10.0,29.77,6.21,100.14,41.0
37.4,9.72,190.0,3.0,29.74,6.21,99.76,41.0
37.4,9.21,350.0,3.0,29.74,6.21,101.34,42.0
30.2,7.68,330.0,5.0,29.8,6.21,97.03,40.0
33.8,10.45,50.0,9.0,29.88,6.21,92.94,37.0
33.8,10.45,30.0,9.0,29.94,6.21,92.94,37.0
30.2,8.11,340.0,8.0,29.83,6.21,95.5,39.0
30.2,7.68,350.0,6.0,29.8,6.21,97.03,40.0
28.4,7.95,90.0,4.0,29.8,6.21,93.77,38.0
33.8,9.9,130.0,6.0,29.85,6.21,94.47,38.0
28.4,7.14,330.0,5.0,29.88,6.21,96.81,40.0
35.6,10.07,330.0,7.0,29.85,6.21,96.3,39.0
30.2,8.56,40.0,9.0,29.85,6.21,93.98,38.0
28.4,7.95,70.0,7.0,29.91,6.21,93.77,38.0
30.2,9.04,70.0,4.0,29.94,6.21,92.46,37.0
35.6,11.86,80.0,7.0,29.94,6.21,91.72,36.0
39.2,14.44,160.0,5.0,29.91,6.21,90.57,35.0
39.2,14.44,340.0,4.0,29.91,6.21,90.57,35.0
37.4,12.05,170.0,10.0,29.91,6.21,93.54,37.0
30.2,8.56,170.0,4.0,29.91,6.21,93.98,38.0
32.0,9.21,180.0,6.0,29.94,6.21,94.21,38.0
32.0,9.72,90.0,7.0,30.0,6.21,92.69,37.0
30.2,8.56,70.0,10.0,30.03,6.21,93.98,38.0
33.8,9.9,50.0,9.0,30.0,6.21,94.47,38.0
30.2,8.56,340.0,4.0,29.94,6.21,93.98,38.0
28.4,8.87,180.0,5.0,30.0,6.21,90.75,36.0
28.4,8.87,20.0,6.0,30.0,6.21,90.75,36.0
44.6,18.8,130.0,6.0,30.0,6.21,89.34,34.0
41.0,15.49,200.0,7.0,29.97,6.21,90.7,35.0
39.2,13.66,190.0,7.0,29.97,6.21,92.23,36.0
37.4,12.73,140.0,3.0,29.94,6.21,92.04,36.0
42.8,16.6,170.0,9.0,29.97,6.21,90.86,35.0
37.4,13.46,170.0,11.0,30.03,6.21,90.46,35.0
32.0,9.72,190.0,6.0,29.97,6.21,92.69,37.0
41.0,15.49,330.0,7.0,30.0,6.21,90.7,35.0
48.2,21.54,190.0,9.0,29.91,6.21,89.8,34.0
30.2,10.09,190.0,11.0,29.91,4.97,89.48,35.0
37.4,14.23,350.0,6.0,29.97,1.24,88.83,34.0
46.4,23.85,110.0,8.0,30.06,6.21,84.68,31.0
53.6,31.17,190.0,5.0,30.06,6.21,85.72,31.0
35.6,11.86,270.0,8.0,29.97,6.21,91.72,36.0
37.4,13.46,40.0,5.0,29.94,4.97,90.46,35.0
41.0,17.32,140.0,6.0,30.03,6.21,87.4,33.0
39.2,15.27,150.0,4.0,30.03,6.21,88.92,34.0
33.8,11.67,170.0,6.0,30.0,4.97,89.97,35.0
28.4,9.91,170.0,8.0,29.94,6.21,87.89,34.0
48.2,24.11,180.0,9.0,29.91,4.97,86.44,32.0
37.4,15.05,220.0,10.0,29.85,6.21,87.23,33.0
39.2,19.15,50.0,4.0,29.91,6.21,82.79,30.0
33.8,16.39,30.0,5.0,30.03,6.21,81.3,29.0
39.2,19.15,160.0,7.0,30.09,6.21,82.79,30.0
37.4,15.05,240.0,15.0,29.97,4.35,87.23,33.0
39.2,24.19,70.0,7.0,30.09,6.21,77.52,26.0
35.6,25.13,60.0,7.0,30.12,6.21,71.62,23.000000000000004
15.8,11.74,340.0,9.0,30.18,6.21,69.01,21.999999999999996
12.2,10.02,340.0,5.0,30.24,6.21,68.93,21.999999999999996
30.2,20.23,170.0,6.0,30.21,6.21,71.39,23.000000000000004
39.2,27.26,190.0,5.0,30.18,6.21,73.7,24.0
33.8,19.55,170.0,3.0,30.06,6.21,77.3,26.0
28.4,13.96,290.0,3.0,30.03,6.21,79.94,28.000000000000004
30.2,16.9,190.0,5.0,30.06,6.21,77.17,26.0
28.4,15.71,160.0,6.0,30.12,6.21,77.12,26.0
23.0,12.55,160.0,4.0,30.09,6.21,76.97,26.0
35.6,21.0,160.0,8.0,30.03,6.21,77.37,26.0
42.8,23.33,190.0,6.0,30.0,5.59,81.61,29.0
46.4,25.26,220.0,5.0,30.03,4.97,83.22,30.0
50.0,38.74,60.0,6.0,30.15,6.21,77.0,25.0
44.6,31.62,130.0,6.0,30.12,6.21,75.89,25.0
44.6,28.08,170.0,8.0,30.09,6.21,79.42,26.999999999999996
48.2,28.63,180.0,4.0,30.0,5.59,82.04,29.0
51.8,34.69,330.0,6.0,29.94,4.35,81.2,28.000000000000004
57.2,56.88,160.0,12.0,29.94,6.21,73.4,23.000000000000004
55.4,47.25,260.0,6.0,29.91,6.21,77.0,25.0
41.0,31.05,100.0,5.0,30.03,6.21,71.9,23.000000000000004
57.2,60.44,160.0,8.0,30.03,3.73,71.6,21.999999999999996
50.0,43.69,120.0,6.0,30.03,6.21,73.4,23.000000000000004
48.2,49.1,10.0,7.0,30.12,4.97,68.0,20.0
42.8,62.46,360.0,5.0,30.24,6.21,55.4,13.0
42.8,51.45,70.0,4.0,30.18,6.21,60.8,16.0
42.8,42.57,0.0,0.0,30.21,6.21,66.2,19.0
35.6,28.39,360.0,5.0,30.27,6.21,69.8,21.0
35.6,25.13,0.0,0.0,30.24,6.21,71.62,23.000000000000004
35.6,25.13,270.0,3.0,30.18,6.21,71.62,23.000000000000004
37.4,25.4,60.0,4.0,30.12,4.97,73.61,24.0
28.4,16.67,130.0,5.0,30.12,6.21,75.18,25.0
