relh,drct,sknt,alti,vsby,dewpoint_c,feel_c,temp_c
23.07,20,11,29.97,6.21,5,26.82777778,28
23.59,10,9,29.88,6.21,7,28.37222222,30
20.79,20,6,29.88,6.21,6,29.11111111,31
20.13,300,9,29.83,3.73,8,31.97222222,34
41.69,10,6,29.97,6.21,12,26,26
39.02,320,6,29.91,6.21,11,26,26
34.41,290,10,29.88,6.21,10,27,27
34.13,270,10,29.88,6.21,9,26,26
34.41,340,7,29.94,6.21,10,27,27
32.46,70,3,29.94,6.21,10,27.21666667,28
25.26,10,8,29.85,6.21,8,28.45555556,30
18.33,40,8,29.83,6.21,5,29.9,32
19.89,350,6,29.8,6.21,7,30.93333333,33
11.86,350,6,29.77,6.21,2,33.17777778,36
22.04,330,6,29.8,3.73,11,34.51111111,36
11.55,220,14,29.65,3.73,7,40.43333333,43
45.88,280,12,29.71,6.21,18,31.85,31
35.25,300,10,29.77,6.21,13,29.18888889,30
33.29,320,6,29.85,6.21,13,30.06111111,31
22.78,10,4,29.88,6.21,9,31.16111111,33
22.29,310,5,29.85,6.21,12,35.83888889,37
15.93,20,12,29.85,6.21,7,34.75,37
15.73,330,6,29.85,3.73,10,39.43333333,41
38.18,360,14,29.94,6.21,16,32,32
44.8,320,11,29.97,6.21,14,27.11666667,27
34.69,320,9,29.97,6.21,11,27.33333333,28
39.3,330,6,29.97,3.73,12,27,27
23.85,50,12,29.88,6.21,8,29.26666667,31
37.9,300,11,29.83,6.21,15,31,31
36.79,340,10,29.97,6.21,11,27,27
39.58,360,6,29.97,6.21,13,28,28
25.52,60,12,29.88,6.21,9,29.37222222,31
20.38,30,13,29.8,6.21,9,33.08888889,35
27.56,250,16,29.8,1.24,11,30.55555556,32
35.53,310,9,29.88,6.21,14,30.32222222,31
31.72,330,9,29.91,6.21,14,32.25555556,33
28.37,20,5,29.85,6.21,14,34.34444444,35
23.55,40,8,29.8,6.21,12,34.77222222,36
13.75,220,16,29.68,3.73,8,38.87222222,41
26.84,270,13,29.74,0.93,14,35.42777778,36
31.72,270,7,29.85,6.21,14,32.25555556,33
35.81,350,10,29.91,6.21,15,32,32
31.72,360,12,29.88,6.21,14,32.25555556,33
21.11,40,9,29.83,6.21,12,36.91111111,38
39,330,8,29.8,6.21,19,36.92222222,35
42.8,320,8,29.85,6.21,16,30.02777778,30
31.45,290,9,29.88,6.21,13,30.98888889,32
28.37,350,5,29.77,6.21,14,34.34444444,35
43.34,320,12,29.74,6.21,18,32.90555556,32
43.34,290,5,29.77,6.21,18,32.90555556,32
36.35,330,4,29.83,6.21,17,34,34
38.45,320,10,29.85,6.21,17,33,33
32.27,340,10,29.83,6.21,16,35,35
31.07,320,9,29.77,6.21,18,39.81111111,38
25.93,350,11,29.71,6.21,16,39.76111111,39
17.74,290,10,29.71,6.21,11,38.71666667,40
28.9,280,10,29.68,6.21,16,37,37
13.64,210,13,29.59,6.21,11,43.77222222,45
19.66,360,4,29.77,6.21,15,43.74444444,43
24.61,310,10,29.83,6.21,13.5,36.58055556,37
24.06,330,8,29.77,6.21,14,38,38
36.08,300,7,29.8,6.21,16,33,33
35.53,300,11,29.83,6.21,14,30.32222222,31
43.07,330,5,29.85,6.21,17,31.37777778,31
31.72,340,6,29.85,3.73,14,32.25555556,33
25.41,20,8,29.8,6.21,14,37,37
41.5,300,10,29.77,3.73,20,37.67777778,35
43.34,320,9,29.83,6.21,18,32.90555556,32
31.72,340,10,29.83,6.21,14,32.25555556,33
40.69,10,9,29.8,3.73,17,32.4,32
29.99,340,10,29.74,6.21,14,33.28333333,34
32.27,350,10,29.77,6.21,16,35,35
28.37,320,10,29.77,6.21,14,34.34444444,35
31.99,320,5,29.8,6.21,15,34,34
30.26,300,7,29.8,6.21,15,35,35
36.35,340,10,29.83,6.21,17,34,34
38.73,10,11,29.83,3.73,18,35.11111111,34
