relh,drct,sknt,alti,vsby,dewpoint_c,feel_c,temp_c
20.13,330,10,29.97,6.21,8,31.97222222,34
4.87,230,19,29.68,3.73,-5,38.20555556,43
40.41,300,12,29.83,3.73,16,30.97222222,31
27.56,290,10,29.85,6.21,11,30.55555556,32
20.38,310,8,29.8,6.21,9,33.08888889,35
27.83,280,10,29.77,6.21,12,31.71111111,33
33.01,320,8,29.8,6.21,12,28.98888889,30
30.9,320,11,29.85,6.21,11,28.81666667,30
35.25,300,11,29.85,6.21,13,29.18888889,30
37.62,330,9,29.83,6.21,14,29.42777778,30
33.56,330,9,29.77,6.21,14,31.26666667,32
23.3,340,11,29.68,6.21,11,33.47777778,35
23.3,300,7,29.71,6.21,11,33.47777778,35
17.05,150,3,29.74,6.21,8,34.91111111,37
20.38,320,9,29.77,6.21,9,33.08888889,35
18.02,290,10,29.74,6.21,8,33.91666667,36
23.3,320,10,29.77,6.21,11,33.47777778,35
28.37,300,10,29.8,6.21,14,34.34444444,35
20.38,350,10,29.8,6.21,9,33.08888889,35
25.15,310,11,29.8,6.21,13,35.07777778,36
38.18,310,10,29.83,6.21,16,32,32
31.99,340,11,29.77,6.21,15,34,34
36.08,330,9,29.77,6.21,16,33,33
26.05,330,11,29.83,6.21,11,31.49444444,33
40.14,310,10,29.85,6.21,15,29.70555556,30
37.9,330,9,29.8,6.21,15,31,31
29.72,350,10,29.71,6.21,13,31.96111111,33
22.78,340,9,29.74,6.21,9,31.16111111,33
35.81,340,10,29.77,6.21,15,32,32
35.81,300,10,29.77,6.21,15,32,32
38.18,330,12,29.85,6.21,16,32,32
38.18,350,8,29.85,6.21,16,32,32
43.34,340,11,29.8,6.21,18,32.90555556,32
38.45,320,11,29.71,6.21,17,33,33
36.08,320,14,29.71,6.21,16,33,33
46.14,310,10,29.77,6.21,19,33.48333333,32
36.08,300,11,29.74,6.21,16,33,33
40.96,320,13,29.74,6.21,18,33.99444444,33
34.11,320,10,29.74,6.21,16,34,34
36.08,320,10,29.77,6.21,16,33,33
29.72,340,14,29.8,6.21,13,31.96111111,33
40.69,300,10,29.8,6.21,17,32.4,32
46.14,300,12,29.8,6.21,19,33.48333333,32
40.96,330,8,29.74,6.21,18,33.99444444,33
29.72,330,9,29.74,6.21,13,31.96111111,33
35.81,320,9,29.71,6.21,15,32,32
43.61,310,8,29.71,6.21,19,34.60555556,33
29.99,310,10,29.77,6.21,14,33.28333333,34
34.11,320,10,29.74,6.21,16,34,34
36.35,330,10,29.71,6.21,17,34,34
24.89,310,10,29.65,6.21,12,33.72777778,35
18.02,320,10,29.74,6.21,8,33.91666667,36
22.04,310,7,29.8,6.21,11,34.51111111,36
19.04,330,6,29.74,6.21,8,32.93888889,35
15.49,310,9,29.71,6.21,5,32.61111111,35
13.87,300,6,29.71,6.21,5,34.49444444,37
25.15,280,7,29.8,6.21,13,35.07777778,36
34.39,320,10,29.8,6.21,17,35.67777778,35
43.61,280,8,29.77,6.21,19,34.60555556,33
30.53,330,10,29.71,6.21,16,36,36
26.84,90,4,29.71,6.21,14,35.42777778,36
14.66,320,10,29.74,6.21,5,33.55,36
24.89,310,17,29.77,6.21,12,33.72777778,35
20.38,300,9,29.74,6.21,9,33.08888889,35
23.55,320,3,29.65,6.21,12,34.77222222,36
20.38,300,12,29.71,6.21,9,33.08888889,35
36.9,340,10,29.77,6.21,19,38.11111111,36
40.96,360,5,29.74,6.21,18,33.99444444,33
36.35,330,9,29.71,6.21,17,34,34
24.89,320,8,29.71,6.21,12,33.72777778,35
34.66,340,11,29.68,6.21,18,37.42777778,36
28.63,350,11,29.74,6.21,15,36,36
41.23,300,6,29.77,6.21,19,35.75,34
40.96,330,10,29.74,6.21,18,33.99444444,33
41.5,330,7,29.74,6.21,20,37.67777778,35
25.15,330,10,29.77,6.21,13,35.07777778,36
20.38,280,7,29.8,6.21,9,33.08888889,35
21.79,300,7,29.83,6.21,10,33.27222222,35
38.45,330,8,29.85,6.21,17,33,33
34.11,360,8,29.8,6.21,16,34,34
35.81,340,11,29.8,6.21,15,32,32
33.84,320,8,29.77,6.21,15,33,33
25.15,330,10,29.77,6.21,13,35.07777778,36
22.29,300,8,29.77,6.21,12,35.83888889,37
24.89,320,9,29.77,6.21,12,33.72777778,35
34.11,300,11,29.77,6.21,16,34,34
38.45,280,13,29.8,6.21,17,33,33
40.96,320,11,29.83,6.21,18,33.99444444,33
31.72,320,10,29.88,6.21,14,32.25555556,33
31.72,310,13,29.83,6.21,14,32.25555556,33
33.84,320,8,29.77,6.21,15,33,33
38.18,290,3,29.83,6.21,16,32,32
33.56,320,11,29.91,6.21,14,31.26666667,32
26.05,330,8,29.88,6.21,11,31.49444444,33
27.83,340,10,29.85,6.21,12,31.71111111,33
35.81,10,11,29.91,6.21,15,32,32
22.78,330,12,29.85,6.21,9,31.16111111,33
31.72,340,9,29.83,6.21,14,32.25555556,33
25.15,360,13,29.83,6.21,13,35.07777778,36
22.04,360,14,29.88,6.21,11,34.51111111,36
40.96,310,9,29.85,6.21,18,33.99444444,33
37.9,320,8,29.83,6.21,15,31,31
28.1,340,2,29.8,3.73,13,32.97222222,34
18.25,280,13,29.77,6.21,9,35.09444444,37
14.71,190,19,29.71,3.73,9,39.13888889,41
40.69,270,12,29.88,6.21,17,32.4,32
38.45,320,10,29.94,6.21,17,33,33
38.45,300,6,29.85,6.21,17,33,33
29.45,310,11,29.85,6.21,12,30.75555556,32
37.9,290,13,29.91,6.21,15,31,31
34.97,360,7,30.03,6.21,12,28.2,29
37.35,350,11,30,6.21,13,28.38333333,29
45.07,320,10,29.91,6.21,15,28.03333333,28
35.25,290,9,29.88,6.21,13,29.18888889,30
35.25,340,8,29.88,6.21,13,29.18888889,30
40.14,320,8,29.83,6.21,15,29.70555556,30
40.14,20,4,29.77,3.73,15,29.70555556,30
17.78,220,14,29.77,6.21,7,32.81111111,35
40.41,290,8,29.91,6.21,16,30.97222222,31
34.41,340,15,30.03,6.21,10,27,27
36.22,310,12,29.97,6.21,9,25,25
33.85,20,13,30,6.21,8,24.43888889,25
29.79,360,14,30.06,6.21,7,25.43333333,26
34.41,20,20,30.03,6.21,10,27,27
23.85,30,14,29.94,6.21,8,29.26666667,31
30.9,360,13,30,6.21,11,28.81666667,30
32.73,10,11,30.06,6.21,11,28.04444444,29
37.62,360,12,29.97,6.21,14,29.42777778,30
45.61,230,11,29.88,6.21,17,30.4,30
42.52,310,7,29.91,3.73,15,28.84444444,29
27.03,330,2,29.97,6.21,9,28.55555556,30
36.79,360,8,29.94,6.21,11,27,27
23.85,200,9,29.83,6.21,8,29.26666667,31
37.07,260,14,29.91,6.21,12,28,28
41.69,340,10,30.09,6.21,12,26,26
30.07,30,16,30.06,6.21,8,26.42222222,27
34.69,30,15,29.97,6.21,11,27.33333333,28
42.25,20,10,29.94,6.21,14,27.82222222,28
41.97,350,12,29.97,6.21,13,26.96111111,27
41.97,360,9,29.94,3.73,13,26.96111111,27
34.41,30,12,29.97,6.21,10,27,27
34.13,360,12,29.97,6.21,9,26,26
36.51,360,9,29.97,6.21,10,26,26
44.25,360,12,29.97,3.73,12,25,25
47.25,320,11,29.88,3.73,13,25,25
54.05,300,8,29.88,6.21,16,26,26
47.79,340,9,29.91,6.21,15,27.28333333,27
34.41,310,8,29.94,6.21,10,27,27
57.36,40,2,29.97,2.49,16,25,25
39.3,20,11,29.97,6.21,12,27,27
37.07,20,8,29.97,6.21,12,28,28
50.69,330,4,30,6.21,15,26,26
32.18,200,6,29.91,6.21,9,27,27
21.25,220,12,29.77,3.73,3,26.12222222,27
34.13,290,3,29.85,1.24,9,26,26
47.07,170,9.5,29.91,4.97,12,24,24
53.8,10,9,29.91,3.73,15,25,25
47.52,30,8,29.91,3.73,14,26,26
50.95,330,7,29.94,3.73,16,27.47777778,27
44.52,60,10,29.94,6.21,13,26,26
41.42,40,7,29.91,6.21,11,25,25
31.9,310,8,29.91,6.21,8,26,26
44.25,310,4,29.97,3.73,12,25,25
53.55,320,8,29.91,6.21,14,24,24
56.63,290,5,29.91,6.21,13,22,22
46.71,340,5,29.97,6.21,11,23,23
50.17,360,5,30.03,3.73,13,24,24
38.46,40,6,30,6.21,9,24,24
17.38,200,9,29.88,6.21,1,26.68333333,28
31.34,240,10,29.94,6.21,6,23.27222222,24
33.57,50,7,29.94,6.21,7,23.33333333,24
13.59,180,9,29.85,3.73,0,28.93333333,31
16.15,190,17,29.83,3.73,4,30.72222222,33
15.7,220,9,29.94,3.73,2,28.95555556,31
50.17,10,13,30.06,6.21,13,24,24
46.16,30,10,30.06,6.21,9,21,21
43.13,40,16,30,6.21,8,21,21
28.08,0,0,29.97,0.62,7,26.34444444,27
30.9,170,11,30.03,1.24,11,28.81666667,30
41.97,280,7,29.91,2.49,13,26.96111111,27
46.71,290,9,29.94,6.21,11,23,23
49.1,240,10,29.97,6.21,9,20,20
28.39,300,4,30.03,6.21,2,21,21
37.61,260,6,30.06,3.73,6,21,21
43.42,310,6,30.09,6.21,9,21.38888889,22
39.43,360,11,30.21,6.21,4,18,18
42.28,300,6,30.09,6.21,5,18,18
51.45,290,18,29.88,6.21,6,16,16
43.61,260,11,29.97,6.21,0,12,12
75.84,240,10,29.94,6.21,4,5.016666667,8
66.91,240,10,30.21,6.21,7,13,13
47.72,30,7,30.36,6.21,4,15,15
44.47,40,10,30.24,6.21,3,15,15
55.12,300,3,30.18,2.49,7,16,16
51.72,0,0,30.12,3.73,7,17,17
45.32,270,3,30.15,2.49,6,18,18
48.55,0,0,30.27,6.21,7,18,18
42.85,30,12,30.27,6.21,7,20,20
42.57,50,14,30.24,6.21,6,19,19
30.2,40,12,30.21,6.21,2,20,20
16.98,0,0,30.18,6.21,-5,21,21
15.97,200,9,30.06,3.73,-5,20.67222222,22
42.85,300,3,30.03,3.11,7,20,20
35.09,50,5,29.97,6.21,5,21,21
32.43,200,12,29.91,3.73,3,20,20
23.5,210,10,29.97,6.21,-4,17,17
51.98,260,13,29.94,6.21,8,18,18
59.5,250,8,30.03,2.49,10,18,18
51.98,320,4,30.09,3.73,8,18,18
48.83,0,0,30.09,3.73,8,19,19
55.63,310,4,30.09,6.21,9,18,18
55.88,310,3,30.03,6.21,10,19,19
48.83,290,6,30.06,6.21,8,19,19
45.32,40,13,30.12,6.21,6,18,18
32.43,40,7,30,6.21,3,20,20
32.43,230,8,29.91,3.73,3,20,20
54.86,180,8,29.97,6.21,6,15,15
51.98,280,4,30.09,3.73,8,18,18
45.6,320,3,30.24,6.21,7,19,19
40,0,0,30.24,3.73,6,20,20
55.88,70,8,30.09,6.21,10,19,19
45.88,360,4,29.97,6.21,8,20,20
45.88,50,11,30.09,6.21,8,20,20
23.13,210,4,30,1.24,0,20.86111111,22
59.74,340,7,30.12,6.21,11,19,19
49.1,40,9,30.18,6.21,9,20,20
35.09,30,5,30.15,6.21,5,21,21
21.5,200,7,30.09,1.24,-1,20.81666667,22
28.68,0,0,30.06,2.49,3,21.00555556,22
25.13,0,0,30.03,2.49,2,22.01111111,23
55.88,20,7,30.12,2.49,10,19,19
42.85,50,10,30.06,6.21,7,20,20
15.71,280,4,29.88,1.86,-2,25.06666667,26
9.4,170,16,29.65,3.73,-8,25.80555556,27
32.14,200,13,29.71,6.21,2,19,19
36.74,210,12,29.88,6.21,3,18,18
24.59,190,8,30,6.21,0,21,21
21.5,30,5,30.12,6.21,-1,20.81666667,22
37.32,40,13,30.09,6.21,5,20,20
37.61,20,13,29.97,6.21,6,21,21
40.85,340,4,29.71,6.21,9,22.42222222,23
45.88,260,6,29.88,3.73,8,20,20
40,280,11,30.03,6.21,6,20,20
34.22,360,7,30.06,6.21,2,18,18
48.83,300,5,29.97,6.21,8,19,19
34.22,60,3,30.06,6.21,2,18,18
37.03,50,7,30.15,6.21,4,19,19
32.43,30,7,30.12,6.21,3,20,20
32.43,10,7,30.09,6.21,3,20,20
28.68,30,13,30.06,6.21,3,21.00555556,22
24.19,320,3,29.91,6.21,4,25.28888889,26
49.37,290,6,29.88,1.86,10,21,21
26.15,240,13,29.94,6.21,0,20,20
67.33,210,12,29.8,6.21,9,15,15
55.63,320,8,30.03,4.97,9,18,18
55.88,0,0,30.24,3.73,10,19,19
40,30,11,30.24,6.21,6,20,20
46.43,40,12,30.18,6.21,10,22,22
27.53,340,5,30.09,6.21,5,24.27222222,25
15.25,200,7,29.91,6.21,0,27.37777778,29
35.94,260,10,29.88,6.21,8,23.39444444,24
52.77,330,3,29.97,6.21,11,21,21
49.37,310,8,29.97,3.73,10,21,21
37.32,280,6,30.06,6.21,5,20,20
32.43,340,6,30.12,6.21,3,20,20
39.72,340,11,30.15,6.21,5,19,19
34.8,20,10,30.03,6.21,4,20,20
8.06,170,11,29.77,6.21,-7,28.46111111,31
8.88,190,17,29.68,1.24,-11,22.68888889,24
29.23,220,6,29.8,1.24,5,23.21666667,24
25.4,0,0,29.85,3.73,3,23.11666667,24
13.38,200,14,29.83,3.73,-1,28.13333333,30
29.51,350,5,30,6.21,6,24.32777778,25
19.15,20,8,29.77,6.21,4,28.21666667,30
29.23,200,10,29.71,3.73,5,23.21666667,24
35.66,350,7,29.83,6.21,7,22.28888889,23
24.86,240,10,29.88,6.21,1,20.90555556,22
23.39,230,17,29.91,6.21,1,21.96666667,23
42.57,280,7,30.03,6.21,6,19,19
55.37,240,12,30,6.21,8,17,17
42.28,320,11,30.09,6.21,5,18,18
19.72,0,0,30.12,6.21,-3,21,21
7.58,180,17,29.88,3.73,-10,26.22222222,28
22.28,280,8,29.91,2.49,2,24.13888889,25
49.37,300,7,30,6.21,10,21,21
43.42,350,8,30.03,6.21,9,21.38888889,22
38.46,360,10,30.03,6.21,9,24,24
33.57,360,8,29.97,6.21,7,23.33333333,24
29.51,10,10,29.94,6.21,6,24.32777778,25
56.38,350,6,29.91,6.21,12,21,21
31.34,340,8,29.88,6.21,6,23.27222222,24
31.34,300,10,29.88,6.21,6,23.27222222,24
15.94,0,0,30.03,6.21,-1,25.98333333,27
15.03,30,15,30.03,6.21,-1,26.65,28
14.18,50,8,29.88,6.21,-1,27.36666667,29
16.63,200,11,29.77,3.73,2,28.16111111,30
38.18,330,2,29.8,6.21,8,22.35,23
17.7,40,11,29.77,6.21,-2,22.91666667,24
35.66,10,9,29.77,6.21,7,22.28888889,23
35.37,310,6,29.91,6.21,6,21.17777778,22
31.34,330,3,29.97,6.21,6,23.27222222,24
18.18,20,2,30.06,6.21,0,25.12777778,26
12.44,350,4,29.91,6.21,-2,28.07777778,30
8.38,200,9,29.83,6.21,-5,30.04444444,33
28.08,310,8,29.94,6.21,7,26.34444444,27
11.74,280,14,29.88,6.21,-2,28.8,31
41.14,280,7,29.97,6.21,10,24,24
31.34,360,2,30.03,6.21,6,23.27222222,24
19.55,30,9,30.03,6.21,1,25.16666667,26
24.19,360,7,30,6.21,4,25.28888889,26
34.13,320,5,29.94,6.21,9,26,26
15.48,190,6,29.88,6.21,1,28.14444444,30
18.09,180,16,29.77,6.21,4,29.01111111,31
32.46,320,2,29.85,3.73,10,27.21666667,28
21.25,260,10,29.83,6.21,3,26.12222222,27
10.09,200,13,29.83,6.21,-1,31.93333333,35
44.8,20,8,29.91,6.21,14,27.11666667,27
39.3,20,11,29.94,6.21,12,27,27
30.07,20,10,29.94,6.21,8,26.42222222,27
20.54,30,12,29.97,6.21,5,28.25555556,30
16.15,30,14,29.88,6.21,4,30.72222222,33
10.45,20,2,29.71,6.21,1,33.85555556,37
33.56,330,9,29.77,6.21,14,31.26666667,32
28.36,330,7,29.85,6.21,8,27.02222222,28
14.61,320,7,29.83,6.21,1,28.94444444,31
25.79,270,6,29.88,3.73,10,30.38888889,32
10.3,300,2,29.91,6.21,-3,29.45555556,32
10.48,330,7,29.88,6.21,-2,30.29444444,33
22.78,300,4,29.85,6.21,9,31.16111111,33
22.02,350,4,29.94,6.21,6,28.30555556,30
9.04,20,2,29.85,6.21,-1,33.58888889,37
6.15,190,11,29.77,6.21,-4,35.78888889,40
22.04,20,6,29.77,6.21,11,34.51111111,36
34.69,40,9,29.8,6.21,11,27.33333333,28
41.97,320,9,29.8,6.21,13,26.96111111,27
27.53,250,8,29.77,6.21,5,24.27222222,25
18.67,240,11,29.91,6.21,2,26.71111111,28
16.63,310,5,29.85,6.21,2,28.16111111,30
22.81,320,8,29.91,6.21,4,26.16666667,27
39.02,320,9,30,6.21,11,26,26
28.36,310,10,30.06,6.21,8,27.02222222,28
19.4,340,8,29.94,6.21,5,29.05555556,31
11.67,300,5,29.83,6.21,1,32.20555556,35
29.45,350,6,29.85,6.21,12,30.75555556,32
33.01,360,10,30,6.21,12,28.98888889,30
24.72,320,11,30.06,6.21,6,26.88333333,28
25.52,340,8,29.97,6.21,9,29.37222222,31
15.49,40,8,29.88,6.21,5,32.61111111,35
40.41,320,7,29.77,6.21,16,30.97222222,31
27.03,280,1,29.83,6.21,9,28.55555556,30
30.9,310,6,29.83,6.21,11,28.81666667,30
25.52,340,3,29.91,6.21,9,29.37222222,31
20.79,320,9,29.94,6.21,6,29.11111111,31
24.37,340,8,29.91,6.21,10,31.31111111,33
12.44,220,15,29.8,6.21,5,36.32777778,39
31.45,280,8,29.83,3.73,13,30.98888889,32
16.6,340,5,29.88,6.21,6,32.7,35
8.58,260,2,29.77,6.21,2,38.32222222,42
33.01,290,6,29.88,6.21,12,28.98888889,30
32.73,300,5,29.88,6.21,11,28.04444444,29
27.03,10,7,29.94,6.21,9,28.55555556,30
12.05,70,13,29.88,6.21,3,34.18888889,37
8.74,190,16,29.71,6.21,3,39.40555556,43
29.18,300,10,29.88,6.21,11,29.66111111,31
34.97,330,6,29.85,6.21,12,28.2,29
25.52,290,2,29.83,6.21,9,29.37222222,31
39.86,290,3,29.8,6.21,14,29,29
31.17,360,7,29.8,6.21,12,29.84444444,31
26.05,340,1,29.88,6.21,11,31.49444444,33
19.04,350,4,29.88,6.21,8,32.93888889,35
24.11,290,9,29.83,6.21,9,30.24444444,32
33.56,340,8,29.74,6.21,14,31.26666667,32
31.72,330,3,29.77,6.21,14,32.25555556,33
19.04,320,7,29.88,6.21,8,32.93888889,35
9.21,20,14,29.8,6.21,0,34.56111111,38
24.89,350,10,29.88,6.21,12,33.72777778,35
21.79,330,10,29.88,6.21,10,33.27222222,35
19.52,340,10.5,29.83,6.21,10,35.31111111,37
23.55,280,9,29.77,6.21,12,34.77222222,36
37.62,320,8,29.91,6.21,14,29.42777778,30
35.53,20,9,29.91,6.21,14,30.32222222,31
31.45,350,8,29.91,6.21,13,30.98888889,32
17.32,340,8,29.8,6.21,5,30.77777778,33
28.1,320,8,29.8,6.21,13,32.97222222,34
20.62,10,11,29.83,6.21,10,34.28333333,36
15.08,20,9,29.83,6.21,7,35.72777778,38
12.64,20,8,29.83,6.21,6,37.45555556,40
25.67,340,8,29.8,6.21,15,38,38
29.99,310,6,29.8,6.21,14,33.28333333,34
34.11,10,8,29.85,6.21,16,34,34
20.62,350,12,29.88,6.21,10,34.28333333,36
29.99,330,6,29.8,6.21,14,33.28333333,34
30.26,300,7,29.65,6.21,15,35,35
29.72,300,6,29.68,6.21,13,31.96111111,33
38.45,320,9,29.8,6.21,17,33,33
30.26,330,7,29.83,6.21,15,35,35
29.72,310,8,29.77,6.21,13,31.96111111,33
28.37,310,5,29.77,6.21,14,34.34444444,35
17.28,300,6,29.77,6.21,9,36.11111111,38
22.29,340,7,29.8,6.21,12,35.83888889,37
16.37,320,6,29.85,6.21,9,37.12777778,39
24.89,310,7,29.91,6.21,12,33.72777778,35
33.84,310,9,29.8,6.21,15,33,33
29.72,280,6,29.77,6.21,13,31.96111111,33
33.84,330,2,29.83,6.21,15,33,33
38.18,340,8,29.85,6.21,16,32,32
43.07,320,10,29.8,6.21,17,31.37777778,31
29.72,300,7,29.8,6.21,13,31.96111111,33
28.1,290,6,29.77,6.21,13,32.97222222,34
36.08,300,5,29.77,6.21,16,33,33
36.35,300,4,29.77,6.21,17,34,34
32.27,320,8,29.8,6.21,16,35,35
19.04,320,7,29.8,6.21,8,32.93888889,35
40.69,300,5,29.74,6.21,17,32.4,32
36.08,300,8,29.77,6.21,16,33,33
31.99,300,8,29.85,6.21,15,34,34
32.27,320,7,29.88,6.21,16,35,35
26.84,300,9,29.8,6.21,14,35.42777778,36
24.89,300,9,29.77,6.21,12,33.72777778,35
34.39,330,7,29.74,6.21,17,35.67777778,35
30.53,330,6,29.74,6.21,16,36,36
30.26,290,9,29.77,6.21,15,35,35
40.96,320,7,29.74,6.21,18,33.99444444,33
40.96,300,8,29.71,6.21,18,33.99444444,33
23.81,300,9,29.65,6.21,13,36.16111111,37
22.29,320,6,29.68,6.21,12,35.83888889,37
20.62,340,6,29.74,6.21,10,34.28333333,36
28.1,310,9,29.83,6.21,13,32.97222222,34
40.69,300,6,29.83,6.21,17,32.4,32
40.96,310,7,29.8,6.21,18,33.99444444,33
31.99,10,2,29.77,6.21,15,34,34
21.79,270,5,29.77,6.21,10,33.27222222,35
25.15,330,8,29.74,6.21,13,35.07777778,36
26.84,300,8,29.77,6.21,14,35.42777778,36
26.84,290,7,29.85,6.21,14,35.42777778,36
30.26,320,6,29.74,6.21,15,35,35
28.63,310,8,29.65,6.21,15,36,36
26.58,340,3,29.71,6.21,13,34.01111111,35
31.99,330,6,29.83,6.21,15,34,34
29.99,360,7,29.88,6.21,14,33.28333333,34
36.35,10,5,29.85,6.21,17,34,34
34.66,310,8,29.8,6.21,18,37.42777778,36
37.17,320,8,29.74,6.21,20,40.12222222,37
24.06,310,7,29.71,6.21,14,38,38
28.9,320,7,29.8,6.21,16,37,37
23.81,330,7,29.8,6.21,13,36.16111111,37
32.27,280,10,29.77,6.21,16,35,35
30.26,320,6,29.74,6.21,15,35,35
20.62,340,5,29.77,6.21,10,34.28333333,36
34.39,340,8,29.8,6.21,17,35.67777778,35
36.08,300,6,29.8,6.21,16,33,33
36.08,330,6,29.8,6.21,16,33,33
36.08,300,9,29.8,6.21,16,33,33
24.89,20,4,29.85,6.21,12,33.72777778,35
13.54,0,0,29.8,6.21,7,37.67777778,40
29.99,310,6,29.77,6.21,14,33.28333333,34
33.84,320,2,29.8,6.21,15,33,33
27.83,310,5,29.88,6.21,12,31.71111111,33
33.84,350,8,29.91,6.21,15,33,33
31.72,310,6,29.88,6.21,14,32.25555556,33
35.81,320,5,29.88,6.21,15,32,32
33.84,330,4,29.91,6.21,15,33,33
33.84,10,8,29.91,6.21,15,33,33
33.56,320,9,29.91,6.21,14,31.26666667,32
36.08,310,9,29.85,6.21,16,33,33
28.1,310,10,29.88,6.21,13,32.97222222,34
15.3,0,0,29.8,6.21,8,36.90555556,39
43.88,320,9,29.77,3.73,20,36.48333333,34
36.08,340,8,29.91,6.21,16,33,33
35.81,360,8,29.97,6.21,15,32,32
35.53,330,8,29.91,6.21,14,30.32222222,31
33.56,350,6,29.88,6.21,14,31.26666667,32
36.08,320,5,29.88,6.21,16,33,33
31.99,10,9,29.91,6.21,15,34,34
20.87,10,8,29.94,6.21,11,35.55555556,37
39,350,7,29.94,6.21,19,36.92222222,35
34.11,340,10,29.94,6.21,16,34,34
18.72,200,2,29.85,6.21,11,37.66666667,39
35.25,280,11,29.94,6.21,13,29.18888889,30
34.97,340,4,29.97,6.21,12,28.2,29
42.25,300,3,29.97,6.21,14,27.82222222,28
34.97,330,9,29.94,6.21,12,28.2,29
37.35,300,8,29.97,6.21,13,28.38333333,29
37.35,10,8,29.94,6.21,13,28.38333333,29
30.9,330,6,29.94,6.21,11,28.81666667,30
28.9,30,7,29.97,6.21,10,28.67777778,30
35.25,30,10,30.03,6.21,13,29.18888889,30
35.81,30,11,29.97,6.21,15,32,32
36.35,30,8,29.94,3.73,17,34,34
33.01,340,7,29.88,6.21,12,28.98888889,30
35.25,330,9,29.88,6.21,13,29.18888889,30
33.01,320,6,29.94,6.21,12,28.98888889,30
37.35,340,2,29.97,6.21,13,28.38333333,29
32.73,270,8,29.97,6.21,11,28.04444444,29
34.69,270,9,29.94,6.21,11,27.33333333,28
36.79,300,5,30,6.21,11,27,27
44.8,340,8,30.03,6.21,14,27.11666667,27
37.35,20,3,30.09,6.21,13,28.38333333,29
35.53,270,5,29.97,3.73,14,30.32222222,31
42.52,270,10,29.83,6.21,15,28.84444444,29
28.08,320,9,29.91,6.21,7,26.34444444,27
34.13,0,0,29.97,6.21,9,26,26
34.41,0,0,29.94,6.21,10,27,27
20.29,260,7,29.97,6.21,4,27.46666667,29
20.79,0,0,29.97,6.21,6,29.11111111,31
17.32,0,0,29.94,3.73,5,30.77777778,33
29.18,280,5,29.94,2.49,11,29.66111111,31
42.25,310,6,30,6.21,14,27.82222222,28
44.52,30,6,30,6.21,13,26,26
39.02,350,5,30,6.21,11,26,26
41.69,260,7,29.97,6.21,12,26,26
39.02,280,8,29.97,6.21,11,26,26
30.35,0,0,29.97,6.21,9,27.11111111,28
26.22,210,12,29.91,3.73,6,26.27777778,27
36.51,220,8,30.03,6.21,10,26,26
46.98,320,6,30.09,6.21,12,24,24
43.69,340,6,30.15,6.21,10,23,23
39.02,30,14,30.12,6.21,11,26,26
19.79,50,13,30,6.21,2,26.07777778,27
19.15,0,0,30,6.21,4,28.21666667,30
41.97,290,5,30.03,3.73,13,26.96111111,27
41.69,340,7,30.06,3.73,12,26,26
50.43,360,6,30.03,6.21,14,25,25
47.25,340,7,29.94,3.73,13,25,25
50.43,350,6,29.91,6.21,14,25,25
39.02,300,2,29.88,3.73,11,26,26
27.81,260,10,29.88,6.21,6,25.38333333,26
49.9,250,9,29.94,6.21,12,23,23
43.97,310,6,30.03,6.21,11,24,24
46.98,40,8,30.09,6.21,12,24,24
53.55,20,12,30.06,6.21,14,24,24
47.25,360,10,29.97,6.21,13,25,25
43.97,240,10,29.97,6.21,11,24,24
46.43,250,9,30.06,6.21,10,22,22
40.29,250,10,30,6.21,7,21,21
59.5,240,6,29.94,3.73,10,18,18
45.88,240,6,29.97,6.21,8,20,20
45.88,270,9,30.03,6.21,8,20,20
52.25,290,6,30.09,6.21,9,19,19
43.13,340,6,30.21,6.21,8,21,21
49.37,360,6,30.21,6.21,10,21,21
56.63,350,8,30.12,6.21,13,22,22
43.97,0,0,30.12,6.21,11,24,24
22.28,40,8,30.06,6.21,2,24.13888889,25
29.79,310,4,30.09,3.73,7,25.43333333,26
27.03,0,0,30.03,6.21,9,28.55555556,30
28.36,10,4,30,2.49,8,27.02222222,28
55.335,25,7,29.97,3.73,14.5,24,24
49.9,360,9,29.97,6.21,12,23,23
49.9,0,0,29.83,6.21,12,23,23
26.43,240,12,29.85,6.21,1,21,21
28.68,0,0,30.09,6.21,3,21.00555556,22
14.81,0,0,29.94,3.73,-2,25.95555556,27
20.98,240,10,30,6.21,-3,20,20
56.13,290,7,30.03,6.21,11,20,20
56.13,280,6,30.15,6.21,11,20,20
43.13,10,8,30.18,6.21,8,21,21
52.77,30,10,30.18,6.21,11,21,21
28.68,230,4,30.09,3.73,3,21.00555556,22
30.77,210,8,30.03,6.21,4,21.06111111,22
40.29,0,0,30.12,1.86,7,21,21
42.85,330,8,30.12,6.21,7,20,20
42.85,330,7,30.15,6.21,7,20,20
52.51,270,6,30.09,6.21,10,20,20
45.32,320,6,30.21,6.21,6,18,18
45.6,40,7,30.24,6.21,7,19,19
52.51,10,10,30.12,6.21,10,20,20
45.88,10,4,30,3.73,8,20,20
52.25,300,1,30,6.21,9,19,19
32.43,240,11,30.12,6.21,3,20,20
24.32,240,7,30.12,6.21,-1,20,20
24.32,0,0,30.06,6.21,-1,20,20
21.5,210,7,30,6.21,-1,20.81666667,22
33.35,250,5,30.06,3.73,-1,15,15
48,290,3,30.21,6.21,5,16,16
29.06,270,8,30.18,6.21,-2,16,16
42,240,8,30.12,6.21,4,17,17
